parallel 24 1 1 1 (10 times)
time: 94ms, throughput: 178.48102127659573 M/s
time: 92ms, throughput: 182.36104347826085 M/s
time: 86ms, throughput: 195.0839069767442 M/s
time: 209ms, throughput: 80.27376076555024 M/s
time: 142ms, throughput: 118.14940845070423 M/s
time: 94ms, throughput: 178.48102127659573 M/s
time: 212ms, throughput: 79.13781132075472 M/s
time: 211ms, throughput: 79.51287203791469 M/s
time: 207ms, throughput: 81.04935265700483 M/s
parallel 24 8 32 1 (10 times)
time: 95ms, throughput: 176.60227368421053 M/s
time: 208ms, throughput: 80.65969230769231 M/s
time: 210ms, throughput: 79.89150476190476 M/s
time: 94ms, throughput: 178.48102127659573 M/s
time: 210ms, throughput: 79.89150476190476 M/s
time: 95ms, throughput: 176.60227368421053 M/s
time: 209ms, throughput: 80.27376076555024 M/s
time: 209ms, throughput: 80.27376076555024 M/s
time: 94ms, throughput: 178.48102127659573 M/s
time: 88ms, throughput: 190.6501818181818 M/s
parallel 24 9 1 1 (10 times)
time: 855ms, throughput: 19.62247485380117 M/s
time: 778ms, throughput: 21.56454498714653 M/s
time: 859ms, throughput: 19.53110128055879 M/s
time: 861ms, throughput: 19.485732868757257 M/s
time: 852ms, throughput: 19.69156807511737 M/s
time: 864ms, throughput: 19.418074074074074 M/s
time: 858ms, throughput: 19.5538648018648 M/s
time: 855ms, throughput: 19.62247485380117 M/s
time: 861ms, throughput: 19.485732868757257 M/s
time: 861ms, throughput: 19.485732868757257 M/s
parallel 24 9 2 1 (10 times)
time: 451ms, throughput: 37.2000354767184 M/s
time: 399ms, throughput: 42.048160401002505 M/s
time: 283ms, throughput: 59.28344876325089 M/s
time: 400ms, throughput: 41.943039999999996 M/s
time: 401ms, throughput: 41.83844389027431 M/s
time: 452ms, throughput: 37.117734513274335 M/s
time: 403ms, throughput: 41.63080893300248 M/s
time: 448ms, throughput: 37.44914285714285 M/s
time: 450ms, throughput: 37.28270222222222 M/s
time: 402ms, throughput: 41.734368159203974 M/s
parallel 24 9 4 1 (10 times)
time: 315ms, throughput: 53.261003174603175 M/s
time: 308ms, throughput: 54.471480519480515 M/s
time: 311ms, throughput: 53.946032154340834 M/s
time: 149ms, throughput: 112.59876510067114 M/s
time: 312ms, throughput: 53.7731282051282 M/s
time: 312ms, throughput: 53.7731282051282 M/s
time: 305ms, throughput: 55.00726557377049 M/s
time: 307ms, throughput: 54.64891205211726 M/s
time: 213ms, throughput: 78.76627230046948 M/s
time: 304ms, throughput: 55.188210526315785 M/s
parallel 24 9 8 1 (10 times)
time: 256ms, throughput: 65.536 M/s
time: 115ms, throughput: 145.88883478260868 M/s
time: 263ms, throughput: 63.79169581749049 M/s
time: 167ms, throughput: 100.46237125748502 M/s
time: 117ms, throughput: 143.39500854700853 M/s
time: 260ms, throughput: 64.52775384615384 M/s
time: 117ms, throughput: 143.39500854700853 M/s
time: 262ms, throughput: 64.03517557251908 M/s
time: 116ms, throughput: 144.63117241379308 M/s
time: 95ms, throughput: 176.60227368421053 M/s
parallel 24 9 16 1 (10 times)
time: 94ms, throughput: 178.48102127659573 M/s
time: 153ms, throughput: 109.6550065359477 M/s
time: 93ms, throughput: 180.40017204301074 M/s
time: 152ms, throughput: 110.37642105263157 M/s
time: 95ms, throughput: 176.60227368421053 M/s
time: 93ms, throughput: 180.40017204301074 M/s
time: 95ms, throughput: 176.60227368421053 M/s
time: 218ms, throughput: 76.95970642201834 M/s
time: 95ms, throughput: 176.60227368421053 M/s
time: 224ms, throughput: 74.8982857142857 M/s
parallel 24 9 32 1 (10 times)
time: 223ms, throughput: 75.2341524663677 M/s
time: 97ms, throughput: 172.96098969072165 M/s
time: 166ms, throughput: 101.06756626506024 M/s
time: 97ms, throughput: 172.96098969072165 M/s
time: 232ms, throughput: 72.31558620689654 M/s
time: 229ms, throughput: 73.2629519650655 M/s
time: 225ms, throughput: 74.56540444444444 M/s
time: 233ms, throughput: 72.00521888412017 M/s
time: 225ms, throughput: 74.56540444444444 M/s
time: 96ms, throughput: 174.76266666666666 M/s
parallel 24 10 1 1 (10 times)
